spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
6JvIjI8H3yxpigROd3Cv9N,Stuff (feat. Travis Scott),"Lil Baby, Travis Scott",37,13,-2,BG,1/21/2025,76,TRUE,180666,WHAM (Extended Version),1/10/2025,0.839,0.68,8,-5.778,0,0.197,0.0072,1.37E-06,0.159,0.762,119.99,4
3M0lSi5WW79CXQamgSBIjx,Swim,Chase Atlantic,38,-5,-8,BG,1/21/2025,87,TRUE,228786,Chase Atlantic,10/4/2017,0.666,0.542,8,-6.429,1,0.0392,0.27,0,0.0765,0.0771,120.134,4
3WiUtI325WtTAk3lacleM8,Чалга,"Krissy, Tedi Aleksandrova",39,10,11,BG,1/21/2025,38,FALSE,221243,Чалга,12/27/2024,0.663,0.891,0,-5.772,1,0.103,0.0317,0,0.352,0.634,171.922,4
1VN1sfcpaC7y7dimb0ZihK,Мама миа,"Medi, Selina",40,4,3,BG,1/21/2025,45,FALSE,186666,Мама миа,5/2/2024,0.628,0.886,1,-4.775,0,0.0388,0.068,0,0.31,0.9,152.995,4
1fTNb11PK6Ode6hx4bC8pl,Нашата,"Galin, Lidia, Dessita, SIMONA, Adam, Costi",41,9,9,BG,1/21/2025,42,FALSE,196000,Нашата,7/1/2022,0.654,0.909,5,-2.584,0,0.0611,0.0301,4.26E-06,0.121,0.86,180.04,4
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",42,-7,-6,BG,1/21/2025,90,FALSE,244684,The Idol Episode 4 (Music from the HBO Original Series),6/23/2023,0.264,0.64,8,-6.221,1,0.0442,0.0393,2.31E-06,0.151,0.19,84.828,4
772ARvmnEjryug7ce0lRAF,Филм за нас,"Tsvetelina Yaneva, Medi",43,-15,-9,BG,1/21/2025,43,FALSE,181304,Филм за нас,12/27/2021,0.565,0.871,6,-4.698,0,0.114,0.0922,0,0.0386,0.661,184.168,4
3slJa7NhnfEsmH3DZW7iHd,Pismo,Preslava,44,1,0,BG,1/21/2025,39,FALSE,207000,Ulitsata,11/13/2024,0.714,0.816,2,-4.702,0,0.112,0.397,0,0.335,0.726,160.01,4
1zK1hzNzGlKcVKdxkp0Rcv,Dale Baby,"Galin, Dessita",45,-9,5,BG,1/21/2025,43,FALSE,170769,Dale Baby,4/17/2024,0.729,0.959,0,-3.267,1,0.139,0.0204,6.37E-06,0.0698,0.55,156.006,4
53ScG8sq3K6H9hN2aLCuwY,Къртиш,Djordan,46,-5,4,BG,1/21/2025,44,FALSE,207906,Къртиш,3/11/2024,0.687,0.87,2,-3.49,1,0.0689,0.0174,1.35E-05,0.0484,0.639,171.92,4
5emD8K39MmotlCLOx9qzCH,GBP (feat. 21 Savage),"Central Cee, 21 Savage",47,3,3,BG,1/21/2025,74,TRUE,154800,GBP (feat. 21 Savage),1/16/2025,0.834,0.683,1,-4.254,1,0.223,0.0905,0,0.205,0.67,142.121,4
0UhHVrEBaHWQXWEb5LTuGK,ДАЙ,"Emil TRF, JS",48,2,-7,BG,1/21/2025,40,TRUE,144404,ДАЙ,12/30/2024,0.902,0.879,5,-4.789,0,0.121,0.266,0,0.0943,0.909,150,4
2niJWeSoQwV4LZtHtj4mpj,Моята принцеса,"Konstantin, Tomas",49,1,-7,BG,1/21/2025,44,FALSE,170666,Моята принцеса,7/19/2024,0.675,0.936,11,-3.8,0,0.125,0.181,0,0.131,0.901,179.931,4
7FdivsVRlBUagQR4SSQW9i,Хапи ме,SIMONA,50,0,0,BG,1/21/2025,42,FALSE,206000,Хапи ме,4/5/2024,0.67,0.92,6,-3.061,1,0.0871,0.0195,0,0.0743,0.734,91.997,4
4wJ5Qq0jBN4ajy7ouZIV1c,APT.,"ROSÉ, Bruno Mars",1,0,0,BE,1/21/2025,90,FALSE,169917,rosie,12/6/2024,0.777,0.783,0,-4.477,0,0.26,0.0283,0,0.355,0.939,149.027,4
3sK8wGT43QFpWrvNQsrQya,DtMF,Bad Bunny,2,2,5,BE,1/21/2025,96,TRUE,237117,DeBÍ TiRAR MáS FOToS,1/5/2025,0.625,0.131,7,-27.405,0,0.0717,0.177,0.218,0.0807,0.032,136.02,4
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",3,-1,0,BE,1/21/2025,100,FALSE,251667,Die With A Smile,8/16/2024,0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,3
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,4,-1,-2,BE,1/21/2025,96,TRUE,166300,The Secret of Us (Deluxe),10/18/2024,0.554,0.808,1,-4.169,1,0.0368,0.214,0,0.159,0.372,108.548,4
35ISBknsCeZQtq66xABI9g,Messy,Lola Young,5,0,-1,BE,1/21/2025,84,TRUE,284066,This Wasn't Meant For You Anyway,6/21/2024,0.798,0.562,9,-5.913,1,0.0375,0.11,0.00606,0.122,0.647,110.991,4
2262bWmqomIaJXwCRHr13j,Sailor Song,Gigi Perez,6,1,0,BE,1/21/2025,93,FALSE,211978,Sailor Song,7/26/2024,0.494,0.413,11,-10.432,1,0.0254,0.682,6.72E-05,0.193,0.273,94.938,4
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,7,-1,-2,BE,1/21/2025,97,FALSE,210373,HIT ME HARD AND SOFT,5/17/2024,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
